,dz,overlap,types,nx,ny,status
SBcInztfxBrUpAK7Wdnu,0.1,False,square,112.0,112.0,val
vrLw6gMgHq2UunlVNoZ8,0.1,False,ring,112.0,112.0,val
03qdsG3ZZErj53dVETZf,0.1,False,circle-rectangle-rectangle-polygon,112.0,112.0,train
se8P6pTN5fRlSKiVzNZX,0.1,False,ellipse-rectangle-shoe-shoe,112.0,112.0,train
3wWyYOm8MusLkD3CblUj,0.1,False,ring-polygon-ring,112.0,112.0,val
ncLaiKb3FlP6nDz6flyU,0.1,False,circle-square,112.0,112.0,test
JOZjgHo4G3txIbaEQVzs,0.1,False,circle-circle-rectangle-square,112.0,112.0,val
19FA3pyQrz1BPFdkJv54,0.1,False,rectangle-rectangle-shoe-ellipse,112.0,112.0,train
qxTbLShpyTpV7R8PvBvb,0.1,False,square-shoe-shoe-ellipse,112.0,112.0,train
8Bv9X1CUmKfCo7ecJp4B,0.1,False,ellipse,112.0,112.0,train
QsHDDVhDvehZ9mZrvpWc,0.1,False,rectangle-ring-circle-ring,112.0,112.0,train
6oo9wBrF2JKjp1kkY1TD,0.1,False,rectangle,112.0,112.0,train
zPgtv4dkOC7Lyi7e0LPQ,0.1,False,square-polygon,112.0,112.0,train
ikFL4ZcuEF8zgo5prE4E,0.1,False,circle-shoe-square,112.0,112.0,test
WyGIRV21tWewJN9pJnlD,0.1,False,polygon,112.0,112.0,val
p9MTtjRUlYQE30ERe08p,0.1,False,rectangle-ellipse-ellipse-circle,112.0,112.0,train
vF4iWeQa8vmoQ3PFQYXv,0.1,False,ring-square-ellipse,112.0,112.0,train
DC7Vg7mFPKjHq5XUthXm,0.1,False,ellipse-ellipse-circle-shoe,112.0,112.0,val
Mz2Tca44YnG9PVc7PlqN,0.1,False,rectangle-rectangle-rectangle,112.0,112.0,train
MWNZP9oQWfTJMvWQib4k,0.1,False,polygon-rectangle,112.0,112.0,train
9ZPQnHvHjbm329641psF,0.1,False,ring-ring-rectangle-ellipse,112.0,112.0,val
fVygojSNhARB9D6Q8qSd,0.1,False,ring-circle-ring,112.0,112.0,test
EMHq7kBWABt8ScwxrwW8,0.1,False,square-square-circle-ring,112.0,112.0,val
WOnFF6QdNpwRCIBvJKb5,0.1,False,circle-polygon-polygon,112.0,112.0,test
i0U3fi5eyOQFBsTOS8hd,0.1,False,ring-polygon-shoe,112.0,112.0,val
Ay1JvlhpZWfglUS45e25,0.1,False,rectangle-rectangle-polygon,112.0,112.0,train
pL3gAnytALuCOhkalH6m,0.1,False,circle,112.0,112.0,test
6ZPANlRHhLeOJ4R1uEFV,0.1,False,shoe,112.0,112.0,train
0blPSchtAmf4Siklvoyv,0.1,False,ellipse-ring-shoe,112.0,112.0,train
vqc3rzcCnHHDAdJRE1dB,0.1,False,ring-rectangle-shoe-ellipse,112.0,112.0,train
6SeevJcZ8wV5iPvXra82,0.1,False,polygon-ellipse-square-polygon,112.0,112.0,val
Cpv1IkKy2GeEZ3ejDodG,0.1,False,circle-circle-circle,112.0,112.0,test
UAGovcUj7lAjfwp1wXm0,0.1,False,circle-circle-ellipse,112.0,112.0,train
fm1aqASn3aZ5d2OB1oqC,0.1,False,shoe-rectangle-circle-square,112.0,112.0,val
gDIIdK5W9jaCLhevvpHc,0.1,False,polygon-rectangle-circle-ellipse,112.0,112.0,test
RUDOU5t3aably6Axw2yw,0.1,False,polygon-polygon,112.0,112.0,train
0ehf6bKVA8mEr2osLP2w,0.1,False,shoe-ring-ellipse,112.0,112.0,train
wBRnaAVwq3rpMWqqJFqD,0.1,False,shoe-rectangle-rectangle,112.0,112.0,train
LvwyG9iZ9RoDVBm6UNs4,0.1,False,square-shoe-square,112.0,112.0,train
FN1mr4LpMtE8GuQGnaua,0.1,False,rectangle-rectangle-rectangle-ellipse,112.0,112.0,train
PKvsCym8V6UDFW6YJ7e3,0.1,False,rectangle-polygon-square-ring,112.0,112.0,val
u3QpeAzDgxPpnpeHr5Td,0.1,False,rectangle-rectangle,112.0,112.0,train
jSHwlBlKSsC77o0Fd5AU,0.1,False,ring-polygon-shoe-rectangle,112.0,112.0,train
m7SxIzUchiEklpHzeSMV,0.1,False,circle-ring,112.0,112.0,test
P5LwSMHNRnTBFk5CT4rO,0.1,False,shoe,112.0,112.0,test
xWpLWTlaOySfVHzKOXhO,0.1,False,ring-circle-rectangle,112.0,112.0,test
2DaIdCaO5arAxAgDac9V,0.1,False,ring,112.0,112.0,test
wb33vwc6mX5eDBmc9z6K,0.1,False,rectangle-circle,112.0,112.0,train
GD8HKBbLF6v1uhlsHvfO,0.1,False,circle-shoe,112.0,112.0,train
9dRlGL3Ca71MUeJcdWx6,0.1,False,ellipse-rectangle-circle-polygon,112.0,112.0,train
X6DfHsy16iMBkTq68jMY,0.1,False,square-ring,112.0,112.0,test
tB1Mjlvr3qr9aa0ZH0mt,0.1,False,circle,112.0,112.0,train
UOC5IzrUIdg6OllnQQMc,0.1,False,rectangle-rectangle,112.0,112.0,train
Jp6Up4vDehseCbmVF139,0.1,False,polygon-square,112.0,112.0,val
mIeS18s6oi5K3xvOc43u,0.1,False,circle-polygon-circle,112.0,112.0,test
MH3BByacMKowCswr3V3f,0.1,False,shoe-shoe-ring,112.0,112.0,train
odQRwdlaKDoGBRIcFupW,0.1,False,circle-rectangle-ring-circle,112.0,112.0,train
Y7ZhbIdAKGUD0XRqtAu8,0.1,False,square-shoe-shoe,112.0,112.0,train
PqjvyjXhM2mukMQSXckV,0.1,False,square-polygon,112.0,112.0,test
YCcbsiALKYK3CDAPb0Fu,0.1,False,ring,112.0,112.0,train
g2oCjUxbXxrx5Sl4dfBB,0.1,False,rectangle-circle,112.0,112.0,test
v0kVbaWz5Mr72xjFMVw3,0.1,False,shoe,112.0,112.0,train
tcRbUysKVGOjM6u6yoag,0.1,False,ring-square-shoe-circle,112.0,112.0,val
b7A1Gp10kW1Lp4trIOZH,0.1,False,square-ellipse,112.0,112.0,test
teF63F03OUOtVY9Zvt03,0.1,False,circle,112.0,112.0,val
lTNLS5OfZoBciuXVNSFI,0.1,False,circle,112.0,112.0,train
iHM9itrlqGcqeaa5Ho6a,0.1,False,ring,112.0,112.0,train
0YKDIu9dUY70pVODsZjJ,0.1,False,ellipse,112.0,112.0,test
0vIGBESoCGQ9usNSxzO1,0.1,False,rectangle-ring,112.0,112.0,train
s5eXXUt6DpdKu3WxZNbr,0.1,False,shoe,112.0,112.0,train
gReON3vQNWDMbcfEPxe3,0.1,False,circle-ellipse,112.0,112.0,train
iUMPJNiED0LXNUo1BNZ9,0.1,False,ring-rectangle,112.0,112.0,train
QzJa2OzRUsBYzvGAf5Ft,0.1,False,shoe,112.0,112.0,test
1IfRBsPW7Rq7xbqSWdf3,0.1,False,rectangle-polygon-circle-rectangle,112.0,112.0,val
ZcrflHz3renlqfCFnDOA,0.1,False,shoe-shoe-circle-circle,112.0,112.0,train
rvno0sFtMNK43Fpc3Hqk,0.1,False,circle-ring-rectangle,112.0,112.0,test
YkxVAMjvWL9ETln4JTma,0.1,False,polygon,112.0,112.0,train
nCS547XshZPDmjwvM2Xf,0.1,False,square-shoe-ring-ring,112.0,112.0,train
Hszc0EexsuZkxKA3xMJE,0.1,False,circle-ellipse,112.0,112.0,train
Egi6UDNrk1ZC2lEWWMJe,0.1,False,rectangle-shoe,112.0,112.0,train
K6jNtndXwve6VzoJY5wk,0.1,False,square-rectangle-polygon-circle,112.0,112.0,test
uKp3oZjOw5HKB2gX78E4,0.1,False,circle,112.0,112.0,train
EdULpdXb3BTjBNnZBHvk,0.1,False,circle-circle-square,112.0,112.0,val
tTg2va3IqROffIXkyue5,0.1,False,square,112.0,112.0,train
W5yGoSqmNmMl7yS1c50c,0.1,False,square-circle-shoe,112.0,112.0,train
Vbkopc1gkaOO9vPtLtXZ,0.1,False,shoe-square-ring-rectangle,112.0,112.0,train
R6aTLYV50RBNpj74igHR,0.1,False,polygon,112.0,112.0,train
cigOy4qmcAweRXSFHdem,0.1,False,polygon,112.0,112.0,train
8LNYcVXqw7j7yWhwKJcw,0.1,False,ellipse-ring-shoe,112.0,112.0,test
Le39KmaV1E33cn6cd3mq,0.1,False,polygon-ellipse,112.0,112.0,train
CtP4MQe6VUZ2MhspRIxV,0.1,False,rectangle-square-shoe-square,112.0,112.0,test
UWTPGfVmmOfR1zzkmy41,0.1,False,rectangle,112.0,112.0,val
YhdlCeQOKBrmUiWOPOCf,0.1,False,rectangle-ellipse,112.0,112.0,test
ftLhtTaA3JfPn0frALf5,0.1,False,ellipse-rectangle-rectangle,112.0,112.0,val
xTAzVS17tYCQA8ixJEAj,0.1,False,square-polygon-polygon,112.0,112.0,val
M2m38XbibsnNUpAQDCmv,0.1,False,square-polygon-ellipse-ring,112.0,112.0,train
ThUWkVbjOYtRksGE4dxh,0.1,False,square-ellipse-square-shoe,112.0,112.0,train
wkkcwppYCiCIpmgZ341P,0.1,False,ellipse,112.0,112.0,train
HfahrMzI0AhhhqCgGmZu,0.1,False,square-rectangle,112.0,112.0,val
KkskcTmVoS5buTr8wmPD,0.1,False,polygon-shoe,112.0,112.0,val
IxzEBo9ax3IQzDDkGEr1,0.1,False,rectangle-polygon,112.0,112.0,val
uWkoVhKYveZM3P7KUTGS,0.1,False,shoe-rectangle-rectangle,112.0,112.0,train
3uWfergjgPx1zUXxlpiW,0.1,False,ring-ring-polygon-rectangle,112.0,112.0,val
0Z5M73k0tcJY7oJQzUUm,0.1,False,ellipse,112.0,112.0,val
AGUkQGxrc3Do5lvUepMv,0.1,False,rectangle-ring,112.0,112.0,train
Fr3YzQTg8RHjgGAv2V5b,0.1,False,ellipse,112.0,112.0,val
rvvduvpPTRoTs1Lbkyia,0.1,False,rectangle-square,112.0,112.0,train
jgGeGkYfIvdYEhFot1qH,0.1,False,shoe-rectangle,112.0,112.0,test
CnmAYDX4CHg8BiaKLBAQ,0.1,False,polygon-rectangle,112.0,112.0,train
jNcbb3spP6x7yKVa5scI,0.1,False,square-shoe-shoe,112.0,112.0,train
MB6MPgxJ5HoAu4c3moZk,0.1,False,square-ring-ring,112.0,112.0,train
37jXKbkVziJOEX99B04J,0.1,False,square-ring,112.0,112.0,test
BJGWRHpuVdG69eUjOPrI,0.1,False,ellipse-shoe,112.0,112.0,train
C6UcEMt3I4g0m5toy6rf,0.1,False,ellipse-shoe-square,112.0,112.0,val
mBd18y7gHJeSDgrUgvAY,0.1,False,ellipse,112.0,112.0,val
wdGYLlU8NoI2AD1m39Ao,0.1,False,polygon,112.0,112.0,train
PbYz6hHfwJhJZfRuBNnD,0.1,False,square-ellipse-shoe-square,112.0,112.0,val
83dGg2M3730ogyyWKNwY,0.1,False,rectangle-ring-ellipse,112.0,112.0,train
V9VLbc6v9sHGmaZuRRG5,0.1,False,shoe,112.0,112.0,train
QrpmoSWvcLAZyPxSkhqB,0.1,False,shoe-square-shoe-ring,112.0,112.0,train
yQ2CBokaQlJTGuaAlfUK,0.1,False,ellipse-square-circle,112.0,112.0,train
bzU3eywohNEmcj73Yiq9,0.1,False,square-ellipse-shoe,112.0,112.0,val
lMewaDnebnzUKZCoBOHD,0.1,False,polygon-circle-shoe,112.0,112.0,train
p6HdyMzfLfg1S9LI7S7w,0.1,False,square-polygon-circle,112.0,112.0,train
lR9IntizET1tDBXHy17N,0.1,False,polygon-ellipse-shoe,112.0,112.0,train
eBRWzHJh81Z9pgxW3sv6,0.1,False,polygon,112.0,112.0,val
0EqactUVaKI19mMeezSj,0.1,False,square-circle-shoe-rectangle,112.0,112.0,test
Kw7hc9zwug78u47lxEdR,0.1,False,ring,112.0,112.0,train
RFwzOyuEzf9zBaXXKYlN,0.1,False,ring-square-circle,112.0,112.0,val
xKVfPf6kzdfYuUSmGirf,0.1,False,polygon,112.0,112.0,test
pVDTok5F4Lg5KRKYFfvh,0.1,False,rectangle,112.0,112.0,test
rNz1KoWgbHRPnaWcyFH1,0.1,False,ring-polygon-ellipse,112.0,112.0,train
Gm4SOqy4rPK2l4KFhnsb,0.1,False,ellipse-ellipse,112.0,112.0,train
KvxDmlBVGZ5tF2RNWkcl,0.1,False,square-polygon-polygon,112.0,112.0,test
N207HymrWVeZZcidme17,0.1,False,square,112.0,112.0,train
7RLULVgNL4QeQgNCjirr,0.1,False,rectangle-shoe-polygon,112.0,112.0,train
talA83V7HYi8lZBNjw8b,0.1,False,ellipse-polygon-ring,112.0,112.0,train
ObM88yHP3hs9XwQLtAWP,0.1,False,circle,112.0,112.0,train
MjdTzqnuQiiLNPzMGwd5,0.1,False,rectangle-circle,112.0,112.0,train
xkrMBeTOAaliJaWdoFRB,0.1,False,rectangle-ellipse,112.0,112.0,val
RHKdfKcIF0A7kupyX7c9,0.1,False,polygon-square-circle,112.0,112.0,train
JahNDaaBE20MssiZSArg,0.1,False,ring-circle-ring-circle,112.0,112.0,train
AQG6NAX8EKw5zlFMZezS,0.1,False,square-shoe,112.0,112.0,test
60ZVje3kmqA1Fmyrkam6,0.1,False,ring-circle,112.0,112.0,train
tKE6WJW8vmC8vNDhlM0b,0.1,False,shoe-rectangle-polygon,112.0,112.0,val
vwQMLvhfl0Ztd8WJGZWb,0.1,False,ring-rectangle-polygon-shoe,112.0,112.0,train
zuX6IKtPqHMoUQCnR6Jk,0.1,False,ring,112.0,112.0,train
YgUwPYoq3OoxqYc1Vu4V,0.1,False,square-ring-ellipse-ring,112.0,112.0,train
PMvyyTj31X1KnTqKD5iU,0.1,False,ring,112.0,112.0,test
31mM349Ph3XX1ZlTlbNl,0.1,False,square-polygon-circle-circle,112.0,112.0,test
RebgSB4pNEmwysld3Cng,0.1,False,ellipse,112.0,112.0,train
wtJfVkV8QwkShwppmA08,0.1,False,square,112.0,112.0,test
uLlwSUrZWtu3CNCUcNwm,0.1,False,rectangle,112.0,112.0,val
aWxTt83ty3OJ5B287Sm3,0.1,False,rectangle-shoe,112.0,112.0,train
0P90SoQfjoVOuFMJMwjb,0.1,False,circle-ellipse-ellipse,112.0,112.0,train
F80kyqSade7TYCVHVkjA,0.1,False,ellipse-rectangle,112.0,112.0,train
ecuFiNWjnbfcCd2mAsua,0.1,False,polygon-shoe-shoe,112.0,112.0,train
PfbLD2dKjan343pGeUOW,0.1,False,polygon,112.0,112.0,train
nKEc02wCYv02Yh0Tnt0k,0.1,False,shoe,112.0,112.0,train
