,dz,overlap,types,nx,ny
LYXHm4opdgw0L5WQ2oDL,0.1,False,rectangle-polygon-rectangle-ring,112.0,112.0
WMIh6R44YU8DOmC6VkKN,0.1,False,rectangle-shoe-ring,112.0,112.0
Os7Gst62dycmP4OrOFnW,0.1,False,ellipse-circle,112.0,112.0
U2Qxbl2koUuXABwR2j8I,0.1,False,rectangle-shoe-rectangle-rectangle,112.0,112.0
ecphwhlQmw6ftl7hCK71,0.1,False,polygon-shoe-rectangle-square,112.0,112.0
57gORd1M23XFJAJeIoob,0.1,False,square-polygon-ring-ring,112.0,112.0
4MlCJtuGjyKHr4TTCBp0,0.1,False,shoe,112.0,112.0
mv5PLuW3gAbfiD0OyBgT,0.1,False,square-ring,112.0,112.0
XIscueDMO4mrWmuVdHlR,0.1,False,ellipse-square-rectangle-rectangle,112.0,112.0
p1hTPzydMQyJGxxrKZVt,0.1,False,polygon-ring-polygon,112.0,112.0
IpRtJb9fQBd67jiYlNQG,0.1,False,ring,112.0,112.0
REGXYktPGAMA6eElQKI3,0.1,False,square-ring,112.0,112.0
tru1tH8X1rsVcjHXZ5V8,0.1,False,circle-ellipse-circle-rectangle,112.0,112.0
ovFNwqKcvFWpHLWdOcxc,0.1,False,circle-polygon-polygon-polygon,112.0,112.0
Mnib5wjsHQ3Oox9FHenU,0.1,False,ellipse-ring-polygon,112.0,112.0
uRfIKyAc8t5HTTlrkD3F,0.1,False,square-square,112.0,112.0
pZgzRReqgTNUZt5VFAdn,0.1,False,circle-ring,112.0,112.0
aJPibFAk7RdoR5HiI57c,0.1,False,square,112.0,112.0
6LcIiK1s2cpXMxEGcJ0Z,0.1,False,polygon-polygon-ring-ellipse,112.0,112.0
mRDOxnRFuUWaG40URqrE,0.1,False,polygon,112.0,112.0
4pGMsqXzLbKsUPPMe2pY,0.1,False,polygon-circle,112.0,112.0
OCNj2jzyxqw4GyoUn8az,0.1,False,rectangle-ring-polygon,112.0,112.0
EkJZJl57dQydQyd4bCvc,0.1,False,rectangle-ring-rectangle-circle,112.0,112.0
UKfAsJzyw4XS0UqKNndy,0.1,False,square-ring-rectangle-circle,112.0,112.0
ZLVjUB6ZnfIceE7yeAF8,0.1,False,circle-shoe-rectangle-ellipse,112.0,112.0
zIO0VQme1UAqm5KDTt6c,0.1,False,square-ellipse-square-ring,112.0,112.0
JFuBGTj3v3a1YSoZNgxo,0.1,False,polygon-rectangle,112.0,112.0
D9SbWC2hzmO2v4ljcpMU,0.1,False,ellipse-shoe-shoe-circle,112.0,112.0
5G13y6K3Upaxn84DwmyO,0.1,False,ellipse,112.0,112.0
7vjPyk0mhBFJhTS3R2vO,0.1,False,ellipse-polygon-polygon,112.0,112.0
X3NrAa6O3DzxY910BER2,0.1,False,circle,112.0,112.0
mOORTAZOIRz7ly6MG1do,0.1,False,ring-shoe-ellipse,112.0,112.0
NY99CpF6HbUVkpyxmdoE,0.1,False,circle-shoe-rectangle,112.0,112.0
EdRWzPvkIg0ILWJqJVIa,0.1,False,circle-ellipse-rectangle,112.0,112.0
kD4Z9poZmtRIYJwcMBfa,0.1,False,rectangle,112.0,112.0
FXD2pDojVz8Hth88OJpt,0.1,False,rectangle-polygon-square-ring,112.0,112.0
QpbD9cpQdOgW3HFVnEgr,0.1,False,circle-shoe,112.0,112.0
sJaiMgsRZ9CSIEtayw0y,0.1,False,polygon,112.0,112.0
iy7ys5F71S461RKwpLQB,0.1,False,circle,112.0,112.0
v8SWSavYpPQlcjqhhGi5,0.1,False,circle-square,112.0,112.0
aSlnxrMAr6vsykbB3A7B,0.1,False,square-ellipse-square,112.0,112.0
4s1ui4stOHKOoRMXOyUP,0.1,False,shoe-ring-rectangle,112.0,112.0
